category,subcategory,text,guid,ha,severity,link,graph,cost,simple,security,scale,description,source
BC and DR,Requirements,"Define non-functional requirements such as SLAs, RTO (Recovery Time Objective) and RPO (Recovery Point Objective).",bc14aea6-e65d-48d9-a3ad-c218e6436b06,1,High,https://learn.microsoft.com/azure/cloud-adoption-framework/ready/enterprise-scale/business-continuity-and-disaster-recovery,,,,,,,fta
BC and DR,Disaster Recovery,Schedule and perform DR tests regularly,36cb45e5-7960-4332-9bdf-8cc23318da61,1,High,https://docs.microsoft.com/azure/cloud-adoption-framework/ready/enterprise-scale/business-continuity-and-disaster-recovery,,,,,,,fta
BC and DR,High Availability,Use Azure Traffic Manager or Azure Front Door as a global load balancer for region failover,170265f4-bb46-4a39-9af7-f317284797b1,1,Medium,https://docs.microsoft.com/azure/aks/operator-best-practices-multi-region,,,,,,,fta
BC and DR,High Availability,Use Availability Zones if supported in your Azure region,578a219a-46be-4b54-9350-24922634292b,1,Medium,https://docs.microsoft.com/azure/aks/availability-zones,"where type=='microsoft.containerservice/managedclusters' | extend compliant= isnotnull(zones) | distinct id,compliant",,,,,,fta
BC and DR,High Availability,Use the SLA-backed AKS offering,71d41e36-10cc-457b-9a4b-1410d4395898,2,High,https://docs.microsoft.com/azure/aks/uptime-sla,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (sku.tier=='Paid') | distinct id,compliant",-2,,,,,fta
BC and DR,High Availability,Use Disruption Budgets in your pod and deployment definitions,c1288b3c-6a57-4cfc-9444-51e1a3d3453a,1,Low,https://docs.microsoft.com/azure/aks/operator-best-practices-scheduler,,,-1,,,,fta
BC and DR,High Availability,"If using a private registry, configure region replication to store images in multiple regions",3c763963-7a55-42d5-a15e-401955387e5c,1,High,https://docs.microsoft.com/azure/container-registry/container-registry-geo-replication,,-1,,,,,fta
Identity and Access Management,Identity,Use managed identities instead of Service Principals,ed127dd1-42b0-46b2-8c69-99a646f3389a,,High,https://docs.microsoft.com/azure/aks/use-managed-identity,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (properties.servicePrincipalProfile.clientId=='msi') | distinct id,compliant",,1,,,,fta
Identity and Access Management,Identity,Integrate authentication with AAD (using the managed integration),7e42c78e-78c0-46a6-8a21-94956e698dc4,,Medium,https://docs.microsoft.com/azure/aks/managed-aad,"where type=='microsoft.containerservice/managedclusters' | extend compliant = isnotnull(properties.aadProfile) | distinct id,compliant",,1,,,,fta
Identity and Access Management,Identity,Limit access to admin kubeconfig (get-credentials --admin),a2fe27b2-e287-401a-8352-beedf79b488d,,Medium,https://docs.microsoft.com/azure/aks/control-kubeconfig-access,,,-1,1,,,fta
Identity and Access Management,Identity,Integrate authorization with AAD RBAC,eec4962c-c3bd-421b-b77f-26e5e6b3bec3,,Medium,https://docs.microsoft.com/azure/aks/manage-azure-rbac,,,-1,1,,,fta
Identity and Access Management,Identity,Use namespaces for restricting RBAC privilege in Kubernetes,d4f3537c-1346-4dc5-9027-a71ffe1bd05d,1,High,https://docs.microsoft.com/azure/aks/operator-best-practices-identity,,,-1,1,,,fta
Identity and Access Management,Identity,For POD Identity Access Management use Azure AD Workload Identity (preview),d2e0d5d7-71d4-41e3-910c-c57b4a4b1410,,Medium,https://learn.microsoft.com/azure/aks/workload-identity-migration-sidecar,,,-1,1,,,fta
Identity and Access Management,Identity,For AKS non-interactive logins use kubelogin (preview),d2e0d5d7-71d4-41e3-910c-c57b4a4b1410,,Medium,https://learn.microsoft.com/azure/aks/managed-aad#non-interactive-sign-in-with-kubelogin,,,-1,1,,,fta
Identity and Access Management,Identity,Disable AKS local accounts,d2e0d5d7-71d4-41e3-910c-c57b4a4b1410,,Medium,https://learn.microsoft.com/azure/aks/managed-aad#disable-local-accounts,,,-1,1,,,fta
Identity and Access Management,Identity,Configure if required Just-in-time cluster access,d2e0d5d7-71d4-41e3-910c-c57b4a4b1410,,Low,https://learn.microsoft.com/azure/aks/managed-aad#configure-just-in-time-cluster-access-with-azure-ad-and-aks,,,-1,1,,,fta
Identity and Access Management,Identity,Configure if required AAD conditional access for AKS,d2e0d5d7-71d4-41e3-910c-c57b4a4b1410,,Low,https://learn.microsoft.com/azure/aks/managed-aad#use-conditional-access-with-azure-ad-and-aks,,,-1,1,,,fta
Identity and Access Management,Identity,If required for Windows AKS workloads configure gMSA ,d2e0d5d7-71d4-41e3-910c-c57b4a4b1410,,Low,https://learn.microsoft.com/azure/aks/use-group-managed-service-accounts,,,-1,1,,,fta
Identity and Access Management,Identity,For finer control consider using a managed Kubelet Identity,d2e0d5d7-71d4-41e3-910c-c57b4a4b1410,,Medium,https://learn.microsoft.com/azure/aks/use-managed-identity#use-a-pre-created-kubelet-managed-identity,,,-1,1,,,fta
Network Topology and Connectivity,IPAM,Choose the best CNI network plugin for your requirements (Azure CNI recommended),a0f61565-9de5-458f-a372-49c831112dbd,,High,https://docs.microsoft.com/azure/aks/operator-best-practices-network,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (properties.networkProfile.networkPlugin=='azure') | distinct id,compliant",,1,,,,fta
Network Topology and Connectivity,IPAM,"If using Azure CNI, size your subnet accordingly considering the maximum number of pods per node",7faf12e7-0943-4f63-8472-2da29c2b1cd6,,High,https://docs.microsoft.com/azure/aks/configure-azure-cni,,,,,1,,fta
Network Topology and Connectivity,IPAM,"If using Azure CNI, check the maximum pods/node (default 30)",22f54b29-bade-43aa-b1e8-c38ec9366673,,High,https://docs.microsoft.com/azure/aks/configure-azure-cni,,,-1,,1,,fta
Network Topology and Connectivity,IPAM,"If using private-IP LoadBalancer services, use a dedicated subnet (not the AKS subnet)",13c00567-4b1e-4945-a459-c373e7ed6162,,Low,https://docs.microsoft.com/azure/aks/internal-lb,,,-1,1,,"For internal apps organizations often open the whole AKS subnet in their firewalls. This opens network access to the nodes too, and potentially to the pods as well (if using Azure CNI). If LoadBalancer IPs are in a different subnet, only this one needs to be available to the app clients. Another reason is that if the IP addresses in the AKS subnet are a scarce resource, consuming its IP addresses for services will reduce the maximum scalability of the cluster .",fta
Network Topology and Connectivity,IPAM,Size the service IP address range accordingly (it is going to limit the cluster scalability),43f63047-22d9-429c-8b1c-d622f54b29ba,,High,https://docs.microsoft.com/azure/aks/configure-azure-cni,,,,,1,,fta
Network Topology and Connectivity,Security,Filter egress traffic with AzFW/NVA if your security requirements mandate it,3b365a91-7ecb-4e48-bbe5-4cd7df2e8bba,,High,https://docs.microsoft.com/azure/aks/limit-egress-traffic,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (properties.networkProfile.outboundType=='userDefinedRouting') | distinct id,compliant",,-2,2,,,fta
